Id,Abstract,Task 1
D01106,"We introduce ""Unspeech"" embeddings, which are based on unsupervised learning of context feature representations for spoken language.$$$The embeddings were trained on up to 9500 hours of crawled English speech data without transcriptions or speaker information, by using a straightforward learning objective based on context and non-context discrimination with negative sampling.$$$We use a Siamese convolutional neural network architecture to train Unspeech embeddings and evaluate them on speaker comparison, utterance clustering and as a context feature in TDNN-HMM acoustic models trained on TED-LIUM, comparing it to i-vector baselines.$$$Particularly decoding out-of-domain speech data from the recently released Common Voice corpus shows consistent WER reductions.$$$We release our source code and pre-trained Unspeech models under a permissive open source license.",OBJECTIVES METHODS METHODS RESULTS/CONCLUSIONS OTHERS
D05520,"Shifting to a lexicalized grammar reduces the number of parsing errors and improves application results.$$$However, such an operation affects a syntactic parser in all its aspects.$$$One of our research objectives is to design a realistic model for grammar lexicalization.$$$We carried out experiments for which we used a grammar with a very simple content and formalism, and a very informative syntactic lexicon, the lexicon-grammar of French elaborated by the LADL.$$$Lexicalization was performed by applying the parameterized-graph approach.$$$Our results tend to show that most information in the lexicon-grammar can be transferred into a grammar and exploited successfully for the syntactic parsing of sentences.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS RESULTS/CONCLUSIONS
D02397,"Segmentation of retinal vessels from retinal fundus images is the key step in the automatic retinal image analysis.$$$In this paper, we propose a new unsupervised automatic method to segment the retinal vessels from retinal fundus images.$$$Contrast enhancement and illumination correction are carried out through a series of image processing steps followed by adaptive histogram equalization and anisotropic diffusion filtering.$$$This image is then converted to a gray scale using weighted scaling.$$$The vessel edges are enhanced by boosting the detail curvelet coefficients.$$$Optic disk pixels are removed before applying fuzzy C-mean classification to avoid the misclassification.$$$Morphological operations and connected component analysis are applied to obtain the segmented retinal vessels.$$$The performance of the proposed method is evaluated using DRIVE database to be able to compare with other state-of-art supervised and unsupervised methods.$$$The overall segmentation accuracy of the proposed method is 95.18% which outperforms the other algorithms.",BACKGROUND OBJECTIVES METHODS METHODS METHODS METHODS METHODS RESULTS RESULTS
D01945,"Mechanical learning is a computing system that is based on a set of simple and fixed rules, and can learn from incoming data.$$$A learning machine is a system that realizes mechanical learning.$$$Importantly, we emphasis that it is based on a set of simple and fixed rules, contrasting to often called machine learning that is sophisticated software based on very complicated mathematical theory, and often needs human intervene for software fine tune and manual adjustments.$$$Here, we discuss some basic facts and principles of such system, and try to lay down a framework for further study.$$$We propose 2 directions to approach mechanical learning, just like Church-Turing pair: one is trying to realize a learning machine, another is trying to well describe the mechanical learning.",BACKGROUND OBJECTIVES/METHODS/RESULTS BACKGROUND/OBJECTIVES/METHODS OBJECTIVES/CONCLUSIONS OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
D04292,"Recently, a chaotic image encryption algorithm based on perceptron model was proposed.$$$The present paper analyzes security of the algorithm and finds that the equivalent secret key can be reconstructed with only one pair of known-plaintext/ciphertext, which is supported by both mathematical proof and experiment results.$$$In addition, some other security defects are also reported.",BACKGROUND OBJECTIVES OTHERS
D05671,"This paper explores the problem of sockpuppet detection in deceptive opinion spam using authorship attribution and verification approaches.$$$Two methods are explored.$$$The first is a feature subsampling scheme that uses the KL-Divergence on stylistic language models of an author to find discriminative features.$$$The second is a transduction scheme, spy induction that leverages the diversity of authors in the unlabeled test set by sending a set of spies (positive samples) from the training set to retrieve hidden samples in the unlabeled test set using nearest and farthest neighbors.$$$Experiments using ground truth sockpuppet data show the effectiveness of the proposed schemes.",OBJECTIVES OBJECTIVES METHODS METHODS CONCLUSIONS
D05744,"Developing algorithms for solving high-dimensional partial differential equations (PDEs) has been an exceedingly difficult task for a long time, due to the notoriously difficult problem known as the ""curse of dimensionality"".$$$This paper introduces a deep learning-based approach that can handle general high-dimensional parabolic PDEs.$$$To this end, the PDEs are reformulated using backward stochastic differential equations and the gradient of the unknown solution is approximated by neural networks, very much in the spirit of deep reinforcement learning with the gradient acting as the policy function.$$$Numerical results on examples including the nonlinear Black-Scholes equation, the Hamilton-Jacobi-Bellman equation, and the Allen-Cahn equation suggest that the proposed algorithm is quite effective in high dimensions, in terms of both accuracy and cost.$$$This opens up new possibilities in economics, finance, operational research, and physics, by considering all participating agents, assets, resources, or particles together at the same time, instead of making ad hoc assumptions on their inter-relationships.",BACKGROUND OTHERS METHODS RESULTS CONCLUSIONS
D06484,"Automatic melody generation has been a long-time aspiration for both AI researchers and musicians.$$$However, learning to generate euphonious melodies has turned out to be highly challenging.$$$This paper introduces 1) a new variant of variational autoencoder (VAE), where the model structure is designed in a modularized manner in order to model polyphonic and dynamic music with domain knowledge, and 2) a hierarchical encoding/decoding strategy, which explicitly models the dependency between melodic features.$$$The proposed framework is capable of generating distinct melodies that sounds natural, and the experiments for evaluating generated music clips show that the proposed model outperforms the baselines in human evaluation.",BACKGROUND BACKGROUND/OBJECTIVES METHODS RESULTS/CONCLUSIONS
D04719,"Mobile automated video surveillance system involves application of real-time image and video processing algorithms which require a vast quantity of computing and storage resources.$$$To support the execution of mobile automated video surveillance system, a mobile ad hoc cloud computing and networking infrastructure is proposed in which multiple mobile devices interconnected through a mobile ad hoc network are combined to create a virtual supercomputing node.$$$An energy efficient resource allocation scheme has also been proposed for allocation of realtime automated video surveillance tasks.$$$To enable communication between mobile devices, a Wi-Fi Direct based mobile ad hoc cloud networking infrastructure has been developed.$$$More specifically, a routing layer has been developed to support communication between Wi-Fi Direct devices in a group and multi-hop communication between devices across the group.$$$The proposed system has been implemented on a group of Wi-Fi Direct-enabled Samsung mobile devices.",BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES OBJECTIVES METHODS
D02695,"Recent developments in the field of Networking have provided opportunities for networks to efficiently cater application specific needs of a user.$$$In this context, a routing path is not only dependent upon the network states but also is calculated in the best interest of an application using the network.$$$These advanced routing algorithms can exploit application state data to enhance advanced network services such as anycast, edge cloud computing and cyber physical systems (CPS).$$$In this work, we aim to design such a routing algorithm where the router decisions are based upon convex optimization techniques.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS
